theta_deg,model_normalized,analytic_normalized,abs_error
-42.49999999999999,0.03373006884104192,0.03373006884104191,6.938893903907228e-18
-42.25,0.0348244037410914,0.0348244037410914,0.0
-41.99999999999999,0.03590738413407265,0.03590738413407265,0.0
-41.75,0.03697636248056209,0.0369763624805621,1.3877787807814457e-17
-41.5,0.03802864004877415,0.03802864004877414,6.938893903907228e-18
-41.25,0.03906147275083914,0.03906147275083914,0.0
-41.0,0.040072077392794135,0.040072077392794135,0.0
-40.75,0.04105763833838157,0.04105763833838157,0.0
-40.5,0.042015314585382636,0.042015314585382636,0.0
-40.24999999999999,0.042942247251776214,0.04294224725177623,1.3877787807814457e-17
-40.0,0.0438355674675233,0.0438355674675233,0.0
-39.74999999999999,0.04469240466622761,0.04469240466622762,6.938893903907228e-18
-39.5,0.04550989526932071,0.0455098952693207,1.3877787807814457e-17
-39.25,0.04628519175376923,0.04628519175376924,6.938893903907228e-18
-39.0,0.047015472092603906,0.0470154720926039,6.938893903907228e-18
-38.75,0.047697949555832356,0.047697949555832356,0.0
-38.5,0.04832988285752244,0.04832988285752244,0.0
-38.25,0.04890858663303602,0.04890858663303602,0.0
-37.99999999999999,0.0494314422285616,0.049431442228561585,1.3877787807814457e-17
-37.75,0.049895908783240045,0.04989590878324003,1.3877787807814457e-17
-37.49999999999999,0.05029953458231274,0.05029953458231274,0.0
-37.25,0.05063996865784531,0.050639968657845306,6.938893903907228e-18
-37.0,0.05091497261170675,0.05091497261170673,2.0816681711721685e-17
-36.75,0.051122432633614004,0.051122432633614,6.938893903907228e-18
-36.5,0.05126037168519884,0.05126037168519883,1.3877787807814457e-17
-36.25,0.051326961819220335,0.05132696181922034,6.938893903907228e-18
-36.0,0.05132053660124321,0.051320536601243215,6.938893903907228e-18
-35.74999999999999,0.05123960359933892,0.05123960359933891,6.938893903907228e-18
-35.5,0.05108285690564571,0.051082856905645714,6.938893903907228e-18
-35.24999999999999,0.05084918965196284,0.050849189651962834,6.938893903907228e-18
-35.0,0.05053770647995417,0.050537706479954175,6.938893903907228e-18
-34.75,0.05014773592500994,0.050147735925009936,6.938893903907228e-18
-34.5,0.04967884267137217,0.04967884267137218,1.3877787807814457e-17
-34.25,0.04913083963477573,0.049130839634775714,1.3877787807814457e-17
-34.0,0.04850379982760406,0.04850379982760406,0.0
-33.75,0.047798067960415906,0.04779806796041589,1.3877787807814457e-17
-33.49999999999999,0.04701427173267356,0.04701427173267354,1.3877787807814457e-17
-33.25,0.04615333276460536,0.046153332764605356,6.938893903907228e-18
-32.99999999999999,0.04521647712137374,0.04521647712137374,0.0
-32.75,0.044205245380102474,0.04420524538010246,1.3877787807814457e-17
-32.5,0.04312150218985202,0.04312150218985202,0.0
-32.25000000000001,0.041967445274329815,0.0419674452743298,1.3877787807814457e-17
-31.999999999999993,0.04074561382698526,0.04074561382698526,0.0
-31.749999999999996,0.039458896248182884,0.03945889624818289,6.938893903907228e-18
-31.5,0.0381105371743684,0.0381105371743684,0.0
-31.250000000000004,0.03670414374955776,0.036704143749557765,6.938893903907228e-18
-30.999999999999993,0.035243691090085856,0.035243691090085856,0.0
-30.749999999999996,0.03373352689436071,0.0337335268943607,6.938893903907228e-18
-30.5,0.032178375150381605,0.03217837515038161,6.938893903907228e-18
-30.25,0.030583338895003247,0.030583338895003236,1.0408340855860843e-17
-30.000000000000004,0.02895390198036041,0.028953901980360405,6.938893903907228e-18
-29.749999999999993,0.0272959298045191,0.027295929804519094,6.938893903907228e-18
-29.499999999999996,0.02561566896528371,0.02561566896528372,1.0408340855860843e-17
-29.25,0.02391974579817253,0.02391974579817253,0.0
-29.000000000000004,0.02221516376187593,0.02221516376187593,0.0
-28.749999999999993,0.02050929963702521,0.020509299637025205,3.469446951953614e-18
-28.499999999999996,0.018809898506831752,0.018809898506831752,0.0
-28.25,0.01712506749109767,0.017125067491097663,6.938893903907228e-18
-28.0,0.015463268208251113,0.015463268208251111,1.734723475976807e-18
-27.750000000000004,0.013833307943408866,0.013833307943408861,5.204170427930421e-18
-27.499999999999993,0.012244329504021576,0.012244329504021581,5.204170427930421e-18
-27.249999999999996,0.010705799748395915,0.010705799748395911,3.469446951953614e-18
-27.0,0.009227496776309808,0.00922749677630981,1.734723475976807e-18
-26.750000000000004,0.007819495775033982,0.007819495775033979,3.469446951953614e-18
-26.499999999999993,0.006492153518330908,0.006492153518330907,8.673617379884035e-19
-26.249999999999996,0.005256091520413942,0.005256091520413941,8.673617379884035e-19
-26.0,0.00412217785140002,0.0041221778514000185,1.734723475976807e-18
-25.75,0.0031015076254701803,0.00310150762547018,4.336808689942018e-19
-25.500000000000004,0.00220538217774114,0.002205382177741141,8.673617379884035e-19
-25.249999999999993,0.0014452869507431867,0.0014452869507431874,6.505213034913027e-19
-24.999999999999996,0.0008328681163713246,0.0008328681163713254,7.589415207398531e-19
-24.75,0.0003799079642140755,0.00037990796421407606,5.421010862427522e-19
